Year,Month,Region_Name,Region_Code,Building_Use,Sell_Price,Sell_BA,Sell_PPA,Sell_PPP,Sell_Count,JS_Price,JS_BA,JS_PPA,JS_PPP,JS_Count,CR,CR_PPA,CR_PPP
2011,1,도봉구,11320,오피스텔,14231.58,49.04,294.96,89.23,19,9966.67,47.71,215.17,65.09,15,70.03,72.95,72.95
2011,1,동대문구,11230,단독다가구,45195.31,138.43,411.89,124.6,36,6499.62,46.78,172.81,52.28,261,14.38,41.96,41.96
2011,1,동대문구,11230,아파트,34762.54,75.4,467.32,141.36,237,19878.71,80.8,252.49,76.38,358,57.18,54.03,54.03
2011,1,동대문구,11230,연립다세대,17022.06,50.49,338.08,102.27,34,9826.09,51.79,200.77,60.73,46,57.73,59.39,59.38
2011,1,동대문구,11230,오피스텔,11820.69,32.2,371.79,112.47,58,7652.63,31.63,274.52,83.04,19,64.74,73.84,73.83
2011,1,동작구,11590,단독다가구,67025.0,173.51,469.31,141.97,24,7346.67,50.27,179.25,54.22,285,10.96,38.19,38.19
2011,1,동작구,11590,아파트,50378.23,82.54,611.9,185.1,303,25246.65,81.48,314.21,95.05,485,50.11,51.35,51.35
2011,1,동작구,11590,연립다세대,23251.67,55.69,434.04,131.3,108,11824.14,52.21,234.16,70.83,203,50.85,53.95,53.95
2011,1,동작구,11590,오피스텔,21684.62,53.43,422.67,127.86,13,15166.67,56.49,283.14,85.65,15,69.94,66.99,66.99
2011,1,마포구,11440,단독다가구,87072.9,176.42,617.24,186.72,31,7573.8,49.24,170.83,51.67,276,8.7,27.68,27.67
2011,1,마포구,11440,아파트,47786.43,74.64,643.18,194.56,306,24353.91,80.07,310.4,93.9,449,50.96,48.26,48.26
2011,1,마포구,11440,연립다세대,22516.67,51.3,471.36,142.59,66,10740.61,44.4,257.57,77.92,330,47.7,54.64,54.65
2011,1,마포구,11440,오피스텔,22994.28,44.8,507.32,153.47,124,11088.46,37.92,320.89,97.07,26,48.22,63.25,63.25
2011,1,서대문구,11410,단독다가구,31932.71,99.21,424.84,128.52,42,6699.44,44.37,181.48,54.9,266,20.98,42.72,42.72
2011,1,서대문구,11410,아파트,36406.94,74.74,487.75,147.54,180,19434.27,77.5,252.51,76.38,275,53.38,51.77,51.77
2011,1,서대문구,11410,연립다세대,18183.88,57.27,323.96,98.0,96,9646.67,54.12,187.03,56.58,150,53.05,57.73,57.73
2011,1,서대문구,11410,오피스텔,16833.57,34.57,504.63,152.65,35,8790.0,26.99,340.43,102.98,20,52.22,67.46,67.46
2011,1,서초구,11650,단독다가구,143500.0,251.65,664.53,201.02,3,11074.71,59.97,208.91,63.19,174,7.72,31.44,31.43
2011,1,서초구,11650,아파트,86716.19,94.55,901.25,272.63,431,40519.6,97.43,421.48,127.5,908,46.73,46.77,46.77
2011,1,서초구,11650,연립다세대,45067.16,69.79,667.31,201.86,67,16951.27,61.5,283.25,85.68,236,37.61,42.45,42.45
2011,1,서초구,11650,오피스텔,24176.31,39.77,600.91,181.78,98,12525.0,37.35,342.03,103.46,10,51.81,56.92,56.91
2011,1,성동구,11200,단독다가구,54036.2,80.2,795.54,240.65,15,7032.2,46.4,177.93,53.82,177,13.01,22.37,22.36
2011,1,성동구,11200,아파트,45965.65,76.4,605.25,183.09,321,24375.45,78.95,312.14,94.42,389,53.03,51.57,51.57
2011,1,성동구,11200,연립다세대,26747.73,50.25,655.22,198.2,22,10145.0,52.39,197.93,59.87,60,37.93,30.21,30.21
2011,1,성동구,11200,오피스텔,13624.97,29.74,458.96,138.84,38,9666.67,32.51,298.07,90.17,36,70.95,64.94,64.95
2011,1,성북구,11290,단독다가구,53410.88,129.1,542.33,164.05,42,6505.16,52.62,155.12,46.92,281,12.18,28.6,28.6
