학교명,학교급구분,소재지도로명주소,위도,경도,Region_Name
방배중학교,중학교,서울특별시 서초구 동광로 144 (반포동.방배중학교),37.49451866,126.9984954,서초구
신도봉중학교,중학교,서울특별시 도봉구 도봉로115길 16 (쌍문동),37.64932131,127.0332017,도봉구
경일중학교,중학교,서울특별시 성동구 성수일로 27 (성수동1가),37.54335375,127.0485687,성동구
도곡중학교,중학교,서울특별시 강남구 언주로57길 31 (도곡동.도곡중학교),37.49258637,127.0451391,강남구
성덕여자중학교,중학교,서울특별시 강동구 구천면로 396 . 성덕여자중학교 (천호동),37.54959332,127.1415824,강동구
태릉중학교,중학교,서울특별시 중랑구 공릉로2길 60-25 (묵동),37.6122945,127.0826001,중랑구
양천중학교,중학교,서울특별시 양천구 지양로7길 32 (신월동.양천중학교),37.51970729,126.8309782,양천구
성보중학교,중학교,서울특별시 관악구 남부순환로156길 39 . 성보중학교 (신림동.성보중학교),37.48023773,126.9216367,관악구
백석중학교,중학교,서울특별시 강서구 등촌로51나길 35 (등촌동.백석중학교),37.54816836,126.8592011,강서구
상현중학교,중학교,서울특별시 동작구 사당로2길 2-19 (상도동),37.49398955,126.9611357,동작구
성암여자중학교,중학교,서울특별시 강북구 도봉로29길 52 (미아동. 성암여자중학교),37.62077743,127.0245275,강북구
용강중학교,중학교,서울특별시 용산구 이촌로65가길 91 (이촌동),37.52100291,126.9762125,용산구
당곡중학교,중학교,서울특별시 관악구 봉천로13길 101 . 당곡중학교 (봉천동),37.49205829,126.9329834,관악구
정원여자중학교,중학교,서울특별시 서대문구 연희로37안길 51 . 정원여자중학교 (홍은동),37.58547402,126.9334347,서대문구
월촌중학교,중학교,서울특별시 양천구 목동서로 31 (목동.서울월촌중학교),37.53745961,126.8830333,양천구
동일중학교,중학교,서울특별시 금천구 탑골로10길 45 (시흥동),37.45222986,126.9171196,금천구
면목중학교,중학교,서울특별시 중랑구 용마산로70길 37 . 면목중학교 (면목동),37.58290451,127.0959844,중랑구
양진중학교,중학교,서울특별시 광진구 워커힐로 32 . 양진중학교,37.54504902,127.0983485,광진구
신창중학교,중학교,서울특별시 노원구 월계로45길 92 (월계동.신창중학교),37.62832255,127.0479477,노원구
풍납중학교,중학교,서울특별시 송파구 올림픽로43길 20 (풍납동),37.52536544,127.11644,송파구
일신여자중학교,중학교,서울특별시 송파구 송파대로38길 8 (송파동.일신여자중학교),37.50177714,127.1134261,송파구
천일중학교,중학교,서울특별시 강동구 천중로 57 .천일중학교(천호동),37.5457201,127.1278126,강동구
창덕여자중학교,중학교,서울특별시 중구 정동길 22 . 창덕여자중학교 (정동),37.56596376,126.9700488,중구
성원중학교,중학교,서울특별시 성동구 성덕정9가길 13 (성수동2가. 성원중학교),37.53918773,127.0520959,성동구
목일중학교,중학교,서울특별시 양천구 목동동로8길 70 (신정동.목일중학교),37.5133313,126.874308,양천구
성일중학교,중학교,서울특별시 동대문구 왕산로23길 55 (제기동),37.5812877,127.0338291,동대문구
대치중학교,중학교,서울특별시 강남구 남부순환로378길 39 (도곡동.대치중학교),37.48415651,127.0477186,강남구
세곡중학교,중학교,서울특별시 강남구 자곡로 81 (자곡동. 세곡중학교),37.47186015,127.092308,강남구
대방중학교,중학교,서울특별시 동작구 여의대방로10길 24 (신대방동. 대방중학교),37.49517589,126.913764,동작구
화곡중학교,중학교,서울특별시 강서구 강서로45길 70 (내발산동.화곡중학교),37.54821493,126.8331841,강서구
온곡중학교,중학교,서울특별시 노원구 노원로 492 (상계동. 온곡중학교),37.66010516,127.0646186,노원구
선린중학교,중학교,서울특별시 용산구 원효로97길 33-4 (청파동3가),37.54248273,126.965997,용산구
동성중학교,중학교,서울특별시 종로구 대학로 156 동성중학교 (혜화동 90-7),37.58565666,127.0025638,종로구
인창중학교,중학교,서울특별시 서대문구 경기대로 65 . 인창중학교 (충정로2가. 인창중·고등학교),37.5652255,126.964199,서대문구
고려대학교사범대학부속중학교,중학교,서울특별시 성북구 정릉로 161 (정릉동.고려대학교사범대학부속중학교),37.61038457,127.0010353,성북구
청량중학교,중학교,서울특별시 동대문구 왕산로 301 (청량리동),37.58772145,127.0513845,동대문구
대청중학교,중학교,서울특별시 강남구 양재천로 321 (대치동. 대청중학교),37.49016889,127.0585662,강남구
풍성중학교,중학교,서울특별시 송파구 강동대로2길 27 (풍납동. 풍성중학교),37.52538879,127.1124239,송파구
영락중학교,중학교,서울특별시 은평구 백련산로 134-6 . 영락중학교 (응암동. 영락중학교),37.59667624,126.9251334,은평구
노일중학교,중학교,서울특별시 노원구 동일로231길 24 . 노일중학교 (상계동),37.67307458,127.0538233,노원구
명일중학교,중학교,서울특별시 강동구 양재대로156길 57 (고덕동.명일중학교),37.55692932,127.1479662,강동구
여의도중학교,중학교,서울특별시 영등포구 국제금융로7길 46 . 여의도중학교 (여의도동),37.52376137,126.935447,영등포구
수락중학교,중학교,서울특별시 노원구 동일로 1729 . 수락중학교 (상계동),37.68295785,127.0545923,노원구
가재울중학교,중학교,서울특별시 서대문구 수색로 100-75 (북가좌동. 가재울중학교),37.57539248,126.909845,서대문구
서울여자중학교,중학교,서울특별시 마포구 백범로25길 34 . 서울여자중학교 (염리동),37.54868959,126.9483608,마포구
선정중학교,중학교,서울특별시 은평구 서오릉로20길 19 . 선정중학교 (갈현동),37.61844136,126.9086516,은평구
신방학중학교,중학교,서울특별시 도봉구 시루봉로 156 . 신방학중학교 (방학동),37.66400024,127.0294143,도봉구
남대문중학교,중학교,서울특별시 성북구 한천로 660-30 (장위동. 남대문중학교),37.61839715,127.0556556,성북구
경수중학교,중학교,서울특별시 성동구 뚝섬로13길 14 (성수동2가),37.53925228,127.058591,성동구
광남중학교,중학교,서울특별시 광진구 아차산로70길 17-62 . 광남중학교 (광장동),37.54028988,127.1016205,광진구
중동중학교,중학교,서울특별시 강남구 일원로8길 37 중동중학교,37.48880119,127.0781671,강남구
마곡중학교,중학교,서울특별시 강서구 마곡중앙5로 58 (마곡동),37.56790712,126.8213881,강서구
광성중학교,중학교,서울특별시 마포구 신수로8길 20 (신수동.광성중고등학교),37.54846912,126.9368808,마포구
서연중학교,중학교,서울특별시 서대문구 연희로11마길 9-6 (연희동),37.56810892,126.9276344,서대문구
강명중학교,중학교,서울특별시 강동구 상일로12길 56 (강일동. 강명중학교),37.5554045,127.1750136,강동구
봉림중학교,중학교,서울특별시 관악구 장군봉길 72 (봉천동),37.48019587,126.9384751,관악구
동대문중학교,중학교,서울특별시 동대문구 사가정로 59 . 동대문중학교 (전농동),37.5744331,127.0520786,동대문구
