년,자치구별,건립가구 (가구)_완료,시행완료 재개발수 구분
2018,종로구,0,적거나 없음
2018,중구,199,적거나 없음
2018,용산구,199,적거나 없음
2018,성동구,2970,매우 많음
2018,광진구,0,적거나 없음
2018,동대문구,584,보통
2018,중랑구,0,적거나 없음
2018,성북구,0,적거나 없음
2018,강북구,0,적거나 없음
2018,도봉구,0,적거나 없음
2018,노원구,0,적거나 없음
2018,은평구,952,많음
2018,서대문구,0,적거나 없음
2018,마포구,0,적거나 없음
2018,양천구,0,적거나 없음
2018,강서구,0,적거나 없음
2018,구로구,0,적거나 없음
2018,금천구,0,적거나 없음
2018,영등포구,0,적거나 없음
2018,동작구,0,적거나 없음
2018,관악구,0,적거나 없음
2018,서초구,0,적거나 없음
2018,강남구,0,적거나 없음
2018,송파구,0,적거나 없음
2018,강동구,0,적거나 없음
2019,종로구,195,적거나 없음
2019,중구,176,적거나 없음
2019,용산구,478,보통
2019,성동구,1330,많음
2019,광진구,0,적거나 없음
2019,동대문구,802,많음
2019,중랑구,0,적거나 없음
2019,성북구,1091,많음
2019,강북구,0,적거나 없음
2019,도봉구,0,적거나 없음
2019,노원구,0,적거나 없음
2019,은평구,2610,매우 많음
2019,서대문구,0,적거나 없음
2019,마포구,0,적거나 없음
2019,양천구,0,적거나 없음
2019,강서구,0,적거나 없음
2019,구로구,0,적거나 없음
2019,금천구,0,적거나 없음
2019,영등포구,0,적거나 없음
2019,동작구,0,적거나 없음
2019,관악구,1531,매우 많음
2019,서초구,0,적거나 없음
2019,강남구,0,적거나 없음
2019,송파구,0,적거나 없음
2019,강동구,0,적거나 없음
2020,종로구,0,적거나 없음
2020,중구,0,적거나 없음
2020,용산구,0,적거나 없음
2020,성동구,0,적거나 없음
2020,광진구,0,적거나 없음
2020,동대문구,0,적거나 없음
2020,중랑구,0,적거나 없음
2020,성북구,0,적거나 없음
2020,강북구,0,적거나 없음
2020,도봉구,0,적거나 없음
2020,노원구,0,적거나 없음
2020,은평구,2823,매우 많음
2020,서대문구,1651,매우 많음
2020,마포구,2013,매우 많음
2020,양천구,0,적거나 없음
2020,강서구,0,적거나 없음
2020,구로구,0,적거나 없음
2020,금천구,0,적거나 없음
2020,영등포구,0,적거나 없음
2020,동작구,0,적거나 없음
2020,관악구,422,적거나 없음
2020,서초구,0,적거나 없음
2020,강남구,0,적거나 없음
2020,송파구,0,적거나 없음
2020,강동구,0,적거나 없음
2021,종로구,0,적거나 없음
2021,중구,0,적거나 없음
2021,용산구,0,적거나 없음
2021,성동구,0,적거나 없음
2021,광진구,0,적거나 없음
2021,동대문구,0,적거나 없음
2021,중랑구,823,많음
2021,성북구,0,적거나 없음
2021,강북구,0,적거나 없음
2021,도봉구,0,적거나 없음
2021,노원구,0,적거나 없음
2021,은평구,0,적거나 없음
2021,서대문구,879,많음
