Legion_Name,Name,Kind,Distance,Class,latitude,longitude,adress,New_adress
강서구,방화근린공원,공원,,Park,37.5819812,126.8132285,서울특별시 강서구 금낭화로 176(방화공원),
송파구,아시아근린공원,공원,,Park,37.5102779,127.0762885,서울특별시 송파구 올림픽로 44 (잠실동),
동대문구,배봉산근린공원,공원,,Park,37.5812324,127.0641623,서울특별시 동대문구 한천로43길 12-14(배봉산공원) ,
서대문구,안산도시자연공원,공원,,Park,37.5798246,126.9390273,서울특별시 서대문구 홍제동 산33-98,
강서구,염창근린공원,공원,,Park,37.5579702,126.8689817,서울특별시 강서구 염창동 산24-1,
서대문구,백련근린공원,공원,,Park,37.5879662,126.928616,서울특별시 서대문구 통일로 507-22(백련공원) ,
송파구,오금근린공원,공원,,Park,37.5038715,127.1323957,서울특별시 송파구 오금로 363 오금근린공원 ,
강북구,오동근린공원,공원,,Park,37.6327957,127.0317269,서울특별시 강북구 번동 산20-1,
은평구,봉산도시자연공원,공원,,Park,37.604071,126.9020153,서울특별시 은평구 구산동 산61,
구로구,온수도시자연공원,공원,,Park,37.5002598,126.83695,서울특별시 구로구 개봉동 산2-60,
강남구,봉은공원,공원,,Park,37.5139026,127.0554961,서울특별시 강남구 삼성동 75,
송파구,올림픽공원,공원,,Park,37.520934,127.122959,서울특별시 송파구 올림픽로 424 (방이동),
종로구,와룡근린공원,공원,,Park,37.5907944,126.9901672,서울특별시 종로구 와룡공원길 192 (우) 03063,
중랑구,봉화산근린공원,공원,,Park,37.6106404,127.0923625,서울특별시 중랑구 묵동 산46-1,
종로구,북악산도시자연공원,공원,,Park,37.5929992,126.9737295,서울특별시 종로구 부암동 산2-6,
강북구,북한산국립공원,공원,,Park,37.624549,127.000938,서울특별시 종로구 은평구 서대문구 성북구 강북구 도봉구 일대 경기도 의정부 양주군 고양시 일대,
마포구,외국인묘지공원,공원,,Park,37.546797,126.911414,서울특별시 마포구 양화진길 46(외국인묘지공원),
은평구,불광근린공원,공원,,Park,37.6188016,126.9298962,서울특별시 은평구 불광동 산33-1,
노원구,불암산도시자연공원,공원,,Park,37.6636719,127.0952714,서울특별시 노원구 한글비석로12길 51-33(불암산공원) ,
중랑구,용마폭포공원,공원,,Park,37.5731968,127.0905888,서울특별시 중랑구 면목동 산1-4 ,
동작구,사육신공원,공원,,Park,37.5137049,126.948636,서울특별시 동작구 노량진로 191,
양천구,용왕산근린공원,공원,,Park,37.5429593,126.8783125,서울특별시 양천구 목동 199-51,
종로구,사직근린공원,공원,,Park,37.5759864,126.9674018,서울특별시 종로구 사직로9길 5,
강서구,우장산근린공원,공원,,Park,37.5541932,126.844932,서울특별시 강서구 내발산동 산4-5,
동작구,삼일근린공원,공원,,Park,37.4860183,126.9743686,서울특별시 동작구 사당동 산24-17,
종로구,삼청근린공원,공원,,Park,37.5895821,126.9842875,서울특별시 종로구 북촌로 134-1 (우) 03050,
종로구,인왕산도시자연공원,공원,,Park,37.5849001,126.9578438,서울특별시 종로구 옥인동 산 3-1 ,
동작구,상도근린공원,공원,,Park,37.492299,126.9385469,서울특별시 동작구 성대로6사길 27-6(상도공원) ,
강동구,일자산도시자연공원,공원,,Park,37.5431657,127.1574587,서울특별시 강동구 동남로 660(일자산공원),
도봉구,쌍문근린공원,공원,,Park,37.6531456,127.0271316,서울특별시 도봉구 쌍문동 산80,
노원구,수락산도시자연공원,공원,,Park,37.699232,127.0813633,서울특별시 노원구 상계동 산3-1,
송파구,송파나루근린공원(석촌호수),공원,,Park,37.5069328,127.0983002,서울특별시 송파구 잠실로 148 (잠실동) ,
영등포구,선유도근린공원,공원,,Park,37.543418,126.90014,서울특별시 영등포구 선유로 343 (당산동 1) 선유도공원관리사무소,
중구,손기정체육공원,공원,,Park,37.5560189,126.9652702,서울특별시 중구 손기정로 101 ,
성북구,성북근린공원,공원,,Park,37.5948509,127.0078625,서울특별시 성북구 돈암동 616-1055,
강서구,봉제산공원,공원,,Park,37.5421979,126.8517836,서울특별시 강서구 화곡동 산41-6,
도봉구,서울창포원,공원,,Park,37.689585,127.047938,서울특별시 도봉구 마들로 916(서울창포원) ,
강북구,북서울꿈의숲,공원,,Park,37.6233355,127.0407344,서울특별시 강북구 월계로 173,
양천구,서서울호수공원,공원,,Park,37.5278392,126.8304789,서울특별시 양천구 남부순환로64길 20 (신월동),
중랑구,중랑캠핑숲,공원,,Park,37.6049896,127.1093075,서울특별시 중랑구 송림길 160(중랑캠핑숲)/중랑구 망우동 74(청소년체험의숲),
강북구,솔밭근린공원,공원,,Park,37.652331,127.0116241,서울특별시 강북구 우이동 80번지 일대,
금천구,금천체육공원(관악산),공원,,Park,37.468164,126.908681,서울특별시 금천구 독산동 산118-4(금천체육공원),
금천구,금천폭포근린공원,공원,,Park,37.4468663,126.9040127,서울특별시 금천구 시흥대로38길 61(시흥동 937-2),
금천구,만수천공원(관악산),공원,,Park,37.4734274,126.9090028,서울특별시 금천구 독산동 산8 일대,
도봉구,발바닥공원,공원,,Park,37.6597135,127.031982,서울특별시 도봉구 시루봉로6길 33,
도봉구,월천근린공원,공원,,Park,37.6473889,127.0509895,서울특별시 도봉구 창동 28번지,
동대문구,용두근린공원,공원,,Park,37.5732791,127.0390042,서울특별시 동대문구 용두동 34-1번지 일대,
마포구,상암근린공원,공원,,Park,37.5760106,126.8859012,서울특별시 마포구 상암동 1761,
마포구,와우근린공원,공원,,Park,37.5517298,126.9289936,서울특별시 마포구 창전동 3-193번지 일대(홍익대 뒷산),
성동구,금호근린공원,공원,,Park,37.5494726,127.0189457,서울특별시 성동구 장터1길 18,
성동구,달맞이근린공원,공원,,Park,37.543564,127.0212054,서울특별시 성동구 옥수동 산1-1,
송파구,문정근린공원,공원,,Park,37.4862156,127.1275819,서울특별시 송파구 문정동 18-4,
서초구,문화예술공원,공원,,Park,37.467654,127.030517,서울특별시 서초구 바우뫼로12길 40 (양재동),
종로구,세종로공원,공원,,Park,37.5735,126.9758875,서울특별시 종로구 세종대로 189 (우) 03172,
관악구,샘말공원(관악산),공원,,Park,37.4642128,126.938511,서울특별시 관악구 대학동 산63-1일대 샘말공원,
도봉구,초안산생태공원,공원,,Park,37.6479483,127.0405382,서울특별시 도봉구 창동 산24,
구로구,푸른수목원,공원,,Park,37.483029,126.82407,서울특별시 구로구 연동로 240(항동81-1) 푸른수목원관리사무소,
은평구,서오능도시자연공원,공원,,Park,37.6374823,126.9134338,서울특별시 은평구 구파발동 갈현동 진관내동,
서초구,청계산도시자연공원,공원,,Park,37.4224347,127.0424726,서울특별시 서초구 원지동 산 33,
강서구,개화근린공원,공원,,Park,37.5813917,126.8068278,서울특별시 강서구 개화동 산17,
광진구,아차산생태공원,공원,,Park,37.5517142,127.1010031,서울특별시 광진구 광장동 370,
서초구,인능산도시자연공원,공원,,Park,37.4482109,127.0666632,서울특별시 서초구 내곡동 산12-404,
서초구,구룡산,공원,,Park,37.4689473,127.061567,서울특별시 서초구 염곡동 산25-1,
서초구,우면산도시자연공원,공원,,Park,37.470484,127.0091324,서울특별시 서초구 우면동 산35-1,
은평구,향림근린공원,공원,,Park,37.6293824,126.9240693,서울특별시 은평구 진관동 산55,
은평구,신사근린공원,공원,,Park,37.5920771,126.9102948,서울특별시 은평구 신사동 산80-4,
중구,문화역 서울284,공원,,Park,37.5558722,126.9715923,서울특별시 중구 통일로 1 서울역,
강남구,광평근린공원,공원,,Park,37.4880445,127.092184,서울특별시 강남구 수서동 산10-1,
강남구,청담근린공원,공원,,Park,37.5213259,127.052453,서울특별시 강남구 청담동 66,
강동구,허브천문공원,공원,,Park,37.5372715,127.1533951,서울특별시 강동구 둔촌동 산94,
은평구,연신내물빛공원,공원,,Park,37.619052,126.9207354,서울특별시 은평구 통일로 849,
중랑구,나들이근린공원,공원,,Park,37.6054218,127.113261,서울특별시 중구 망우동 산 30-7 일대,
종로구,숭인근린공원,공원,,Park,37.5764419,127.0178267,서울특별시 종로구 숭인동 58,
중랑구,서일대뒷산공원,공원,,Park,37.5877155,127.0987817,서울특별시 중랑구 면목동 산19,
