위도,경도,Shortest_Distance_to_Subway,Shortest_Distance_to_University,Shortest_Distance_to_School
37.5502517,127.0295016,744.3888876,1783.606149,370.0031649
37.4974176,127.0653272,839.6987069,3723.160551,336.1230788
37.5373973,127.0976212,351.8570091,1517.638732,470.6860162
37.5346421,126.8848163,907.5829937,3053.953581,180.6443342
37.4952641,126.8625018,248.1411789,718.7009719,318.8361898
37.5424654,127.0962926,179.9266233,1081.249338,266.5658443
37.5046903,126.9977436,132.6915684,837.2643678,84.32707225
37.6070327,127.0383656,838.39086,351.7018531,228.5012005
37.5615237,127.1768781,840.7916361,6170.715808,264.2486914
37.4894085,126.9084263,450.3134055,3756.983137,313.4173104
37.5244556,126.9004348,206.9742554,3452.070385,317.2259853
37.5205362,127.1061511,216.7110131,2192.399145,213.1713584
37.5528936,127.0325198,552.6485373,1417.632924,232.2956728
37.5028182,127.0829335,1196.189604,4573.959421,454.8504311
37.5462717,126.9296859,162.8247003,460.6594284,334.3990965
37.5524225,127.1753241,747.1594504,5346.430327,293.1762695
37.4897675,126.95062,1271.55482,916.9381126,286.1868935
37.5007956,127.0238992,561.7601096,1360.966767,173.8919838
37.5126077,127.0140026,278.5597944,1573.829613,424.9374951
37.5175612,127.1363717,935.6300107,527.7822077,228.4988619
37.4647703,126.8887235,199.412837,4326.371029,339.7830225
37.6075254,127.0535628,531.0016527,702.9395142,483.7398499
37.5771886,126.8102531,327.0835297,4181.755579,202.0929971
37.5447302,126.9425709,561.5357045,505.4708299,387.1160331
37.5078744,126.8667209,1270.307532,879.2530065,380.6152663
37.5140688,127.0813814,706.9162127,3320.439281,105.3871507
37.5896042,127.0518226,673.1843031,525.0897025,104.5412146
37.4962993,127.0182658,461.0042824,704.3147295,458.6123053
37.681059,127.0488486,738.0806463,3844.940317,444.2337522
37.5105999,126.8868469,695.9681174,2035.732733,125.9353393
37.6490829,127.0485403,437.8763019,1380.030182,154.7398906
37.4897783,127.0506508,391.020961,3036.815123,162.262476
37.4849777,126.9595277,953.6956749,718.173976,140.3779695
37.5504605,127.1551497,412.6612908,4036.784228,251.9360854
37.583453,126.8786598,1547.402458,3538.078585,296.9577004
37.4870722,127.0984431,230.0142327,4619.88488,454.2024814
37.4884221,126.9444341,1010.161039,1130.642264,95.0304652
37.552396,127.1258146,291.6491387,1952.002124,369.2064388
37.478544,127.1320399,185.9881054,4569.126834,386.2809739
37.5055322,126.8956135,706.4548793,2511.363432,576.9143263
37.5564401,127.1420345,1129.815229,3437.932413,219.9917089
37.5948075,127.0103188,600.2434914,1085.032418,132.4731825
37.5120885,127.0113246,84.87501236,1438.967771,210.8341115
37.5490132,127.0092806,738.1170553,1511.419338,194.5005364
37.4950563,127.0545628,483.3211874,3197.037366,155.2624582
37.5360139,127.0716472,581.6062268,819.8629809,129.8633579
37.5215436,127.1368448,681.9307865,559.1319731,277.0365571
37.5472666,127.1800274,1448.546483,5305.433781,678.4994832
37.6122288,126.9168086,577.3381335,1323.68557,209.840363
37.5004855,127.1091277,477.5340571,2871.672297,146.3846369
37.495697,127.1326768,938.8265335,2665.03793,243.8494857
37.5296392,126.9008126,502.6523735,3004.381911,258.8320086
37.4785022,127.0615383,985.5994941,4202.788359,745.9253845
37.6152616,127.0910145,531.7326194,1429.809931,121.7128548
37.6346823,127.0695415,420.4425455,775.3421676,283.6554089
37.5953754,126.9448171,797.2305413,327.0065736,258.0301472
37.6178025,127.0685682,352.1059808,811.6418493,263.1494179
37.6318932,126.9201099,564.283574,3516.737071,154.5818152
37.5215846,126.9702868,260.4787935,2229.673685,407.634588
37.6781304,127.0497494,536.8315271,3512.449031,618.9363131
37.51023,127.0022228,534.5752813,1159.813673,163.015273
37.5518565,127.0271162,539.7039077,1903.507314,326.7486655
37.5298834,126.8961322,455.4865691,3295.79241,325.8401711
37.6443709,127.0632819,1095.494193,486.9596081,89.43594438
37.6792901,127.0570186,1159.4324,3461.077078,460.3482064
37.5472021,127.1477091,342.5303282,3402.493854,369.9408017
37.5341154,126.882084,1149.111934,2879.483318,381.1635257
37.508561,127.0948204,971.2583876,3418.712577,32.84850329
37.4847337,127.0876186,565.9411177,5448.630732,178.4450625
37.5802109,126.8859707,870.4853045,3263.044776,229.4952384
37.5141907,126.8650029,1221.216243,1596.371011,387.4969807
37.5512602,127.1461342,481.2006622,3728.989562,208.8182114
37.6561945,127.0452221,380.7809176,1868.194124,126.1546509
37.5170294,127.0427453,56.86897597,1035.628255,405.470052
37.5029805,127.1173728,713.5918231,2206.202636,121.9939394
37.4979382,127.1367276,723.7768879,2464.285125,116.3416888
37.6661657,127.0593193,1149.981397,1990.442787,180.2107412
37.4944115,126.9155322,669.6549237,3640.050808,149.0629404
37.5343588,126.8729492,1196.094355,2231.56897,199.8146609
37.5919731,127.0643803,465.2361128,640.4291607,599.0330274
